Use_Code,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
SingleFamily,683985,1942,5830,1756,2,3,970656
SingleFamily,61633,1949,5524,832,1,2,460375
Unknown,72779,1982,3070,1129,3,2,479426
SingleFamily,772140,1978,11761,2564,3,4,947377
SingleFamily,591498,1952,4268,1280,2,3,568431
SingleFamily,84851,1948,5998,1405,2,4,928531
SingleFamily,842459,1941,6011,1340,1,2,1031232
SingleFamily,242704,1952,7608,1450,3,3,548976
SingleFamily,292798,1921,6534,1362,2,3,476858
SingleFamily,1052070,1934,8511,2640,4,3,2191795
MultiFamily2To4,1005265,1939,5621,1775,3,5,1480702
SingleFamily,383225,1941,9010,1098,2,3,500441
SingleFamily,632701,1961,7514,1782,2,4,717053
SingleFamily,605169,1912,4457,1000,1,2,663218
Duplex,461302,1944,6841,1612,2,4,926271
SingleFamily,198630,1912,5215,1060,1,2,571146
SingleFamily,618526,1939,8100,1466,2,3,892614
SingleFamily,1969935,1975,8102,2635,3,4,2304283
SingleFamily,1214857,1923,4957,1156,1.5,2,1389370
SingleFamily,555900,1956,7405,1362,3,4,581695
SingleFamily,454494,1949,20465,1575,2,3,870829
SingleFamily,841415,1951,8377,2311,3,3,3833983
Duplex,236983,1928,6611,2314,2,4,797205
SingleFamily,294951,1931,5003,1420,2,3,450109
SingleFamily,104238,1956,6591,1717,2,3,981667
SingleFamily,1195542,1936,6751,2389,3,4,1553103
SingleFamily,181462,1950,5582,958,1,2,828428
Duplex,48205,1944,5999,1612,2,4,550074
SingleFamily,161549,1953,6899,1222,2,3,530299
SingleFamily,513291,1960,11025,2115,2,4,859160
MultiFamily2To4,1000863,1951,2408,2447,6,6,2128141
SingleFamily,467391,1976,11077,1889,2,3,779356
SingleFamily,508658,1950,5662,813,1,2,850853
SingleFamily,672577,1924,5504,1096,1,2,752121
SingleFamily,397131,1948,5199,1571,2,4,1309406
SingleFamily,1638e3,1938,6242,2312,4,4,2103532
SingleFamily,250477,1956,8906,1595,2,3,610536
Condominium,324875,1987,172012,1319,2,3,390237
SingleFamily,575e3,1960,7200,1303,2,3,591141
Townhouse,746200,1979,242045,1414,3,3,835900
Condominium,159401,1993,11763,1295,3,2,929885
SingleFamily,394853,1953,5575,1409,2,3,509046
SingleFamily,520200,1939,5063,1181,1,2,1042262
SingleFamily,396113,1921,5227,1472,1,3,444414
Duplex,256691,1940,8163,2068,2,4,527034
Duplex,38082,1948,3475,1903,2,4,532231
SingleFamily,117165,1948,6120,1814,2,3,1367210
SingleFamily,38e4,1960,5214,1346,2,3,512646
SingleFamily,264020,1954,22500,2060,2.5,3,742221
MultiFamily2To4,125621,1924,6239,3000,2,4,1198221
SingleFamily,283606,1923,4817,886,1,2,390926
SingleFamily,781737,1957,11830,3301,4,4,2801004
SingleFamily,688e3,1943,15581,1394,1,3,713118
SingleFamily,226295,1913,5122,1288,2,4,448694
SingleFamily,161941,1952,6480,1072,1,3,523935
SingleFamily,69544,1951,7452,1562,2,3,534897
SingleFamily,203901,1948,17973,2108,3,4,1150235
MultiFamily2To4,442432,2005,4560,2598,4,8,1148918
SingleFamily,313675,1948,11437,1279,2,2,961971
SingleFamily,125515,1948,4902,1402,2,3,1318029
SingleFamily,428400,1959,7405,2500,3,4,726949
SingleFamily,36791,1926,4305,1138,1,2,412999
Duplex,286388,1927,6588,1832,2,2,658994
SingleFamily,506345,1939,6250,1615,2,3,808929
SingleFamily,182457,1963,12192,2300,3,3,1652950
SingleFamily,11904873,2003,173151,11206,8.25,6,19219260
SingleFamily,465e3,1947,6912,1366,2,3,603242
SingleFamily,81399,1952,8330,1054,1,3,1287658
SingleFamily,434044,1959,7450,1570,2,4,657990
SingleFamily,142425,1948,5973,1111,1,2,540121
SingleFamily,164898,1911,6071,1200,1,2,584801
SingleFamily,157787,1961,7199,1952,2,3,918806
SingleFamily,286906,1954,6295,1606,2,3,650403
SingleFamily,480599,1957,7565,1517,2,3,620398
SingleFamily,184067,1941,6500,894,1,2,392328
SingleFamily,514273,1947,6840,2024,2,4,1782307
MultiFamily2To4,16e5,1927,6534,3908,4,6,2357293
Duplex,500575,1903,7495,2106,2,6,539208
SingleFamily,282577,1948,4218,1800,2,3,690966
SingleFamily,58127,1929,6726,1085,1,2,609143
SingleFamily,356498,1954,7499,1437,2,3,555247
Duplex,349211,1925,7290,4507,4,6,2333507
SingleFamily,1315969,1978,26136,3554,4,4,1398729
SingleFamily,360195,1921,261360,1488,2,3,639796
SingleFamily,128591,1961,10053,2358,3,4,739215
SingleFamily,769895,1922,5009,1344,2,2,889674
SingleFamily,439932,1948,6751,1529,2,3,563642
SingleFamily,79405,1923,4791,776,1,2,351134
SingleFamily,110716,1938,6266,1242,1,2,741996
SingleFamily,166803,1927,5639,1003,1,4,522117
Triplex,94108,1954,7015,3438,3,7,1310984
SingleFamily,121e3,1913,7000,2828,2,3,912903
SingleFamily,192152,1956,7524,1275,2,4,556401
SingleFamily,391882,1964,13860,1555,2,4,688374
SingleFamily,2460700,2018,5649,3706,6,5,4228193
SingleFamily,168602,1956,7426,1316,2,3,573100
SingleFamily,221e4,1941,5204,836,1,2,2288050
SingleFamily,753248,1965,8386,2090,3,4,762045
SingleFamily,1715373,1937,7252,1899,2,3,2157356
SingleFamily,428109,2001,4501,2613,3,4,789169
SingleFamily,338894,1939,8873,1533,1,2,1324337
SingleFamily,98988,1945,5494,1758,2,4,787623
Duplex,451864,1933,6353,1414,1,2,1200605
SingleFamily,266941,1909,2599,972,1,3,376714
SingleFamily,38517,1938,3299,1061,1,2,1093281
SingleFamily,109796,1969,5074,1574,2,4,626377
SingleFamily,497310,1948,7984,1446,2,3,706838
MultiFamily2To4,526654,1952,8499,2840,3,6,828211
SingleFamily,201464,1996,4250,1476,3,3,402468
MultiFamily2To4,104681,1950,9870,1000,1,2,861770
SingleFamily,1152606,1950,4843,1205,1,2,2224934
SingleFamily,178343,1953,9006,1934,2,3,676047
Triplex,43474,1923,7155,2208,3,3,546883
MultiFamily2To4,340331,1921,10300,3264,4,8,691215
SingleFamily,26881,1927,4715,864,1,2,538102
SingleFamily,484548,1938,5306,1300,1,2,698862
MultiFamily2To4,342804,1905,8972,-1,2,4,709576
SingleFamily,827925,1983,13939,2496,3,4,1572121
SingleFamily,13308951,2003,47593,11045,9,6,15239290
SingleFamily,72779,1960,8386,1232,2,3,528240
SingleFamily,102922,1901,5082,1440,1,3,400264
SingleFamily,180681,1939,5816,2170,3,3,3035919
SingleFamily,355527,1948,5458,1467,2,3,560334
Condominium,524e3,1979,466064,1598,3,3,587150
